wave,625-50,675-50,725-50,750-50,775-50,Open,F610,F670,F720,F760,Halpha,Ha-Cont,SII,SII-Cont,ND10,ND25
690.9,6.44E-06,0.9781659678,0.0006158397242,1.00E-05,4.96E-07,0.9875259225,7.50E-14,0.6980526965,0.05555072756,0.04450175949,0,0,0,0,0.1081822722,0.003847641986
691,7.18E-06,0.9781578927,0.0006470069794,1.00E-05,4.92E-07,0.9876634073,7.31E-14,0.7005610987,0.05493496235,0.04432162398,0,0,4.09E-74,0,0.1081855,0.003847793162
691.1,8.09E-06,0.9780794991,0.0006799976952,1.00E-05,4.87E-07,0.9878009814,7.03E-14,0.7036368424,0.05416191724,0.04412010567,0,0,1.45E-74,0,0.1081887668,0.003847956433
691.2,9.28E-06,0.9779798916,0.0007148746945,1.00E-05,4.82E-07,0.9879385343,6.66E-14,0.7072945915,0.05322815326,0.04389787147,0,0,0,0,0.1081920805,0.003848129676
691.3,1.08E-05,0.9779012223,0.0007517246987,1.00E-05,4.78E-07,0.9880759767,6.23E-14,0.7115502594,0.05213018799,0.04365558969,0,0,2.72E-76,0,0.1081954446,0.003848309791
691.4,1.28E-05,0.9778018472,0.0007907712202,1.00E-05,4.74E-07,0.9882136612,5.77E-14,0.7164213564,0.05086451619,0.04339396817,0,0,5.66E-77,0,0.1081988626,0.003848493677
691.5,1.54E-05,0.9776326822,0.0008322284436,1.00E-05,4.70E-07,0.9883516987,5.30E-14,0.7219258887,0.04942752686,0.04311417298,0,0,0,3.62E-08,0.108202338,0.003848678235
691.6,1.92E-05,0.9773986791,0.0008761364508,1.00E-05,4.65E-07,0.9884887883,4.84E-14,0.7280701194,0.04781881316,0.04281778832,0,0,0,1.88E-07,0.1082058744,0.003848860364
691.7,2.50E-05,0.9771133816,0.0009225598129,1.00E-05,4.61E-07,0.9886245772,4.41E-14,0.7348041948,0.04605493856,0.04250646328,0,0,2.62E-78,3.39E-07,0.1082094753,0.003849036963
691.8,3.25E-05,0.976770666,0.0009718351598,1.00E-05,4.57E-07,0.9887639153,4.02E-14,0.7420631785,0.04415807916,0.0421820704,0,0,5.67E-79,4.90E-07,0.1082131441,0.003849204932
691.9,4.30E-05,0.9763656696,0.00102429388,1.00E-05,4.53E-07,0.9889081033,3.69E-14,0.7497780273,0.04215030104,0.04184632634,0,0,3.81E-80,6.42E-07,0.1082168845,0.003849361172
692,6.43E-05,0.9759182413,0.001079974338,1.00E-05,4.50E-07,0.9890390422,3.43E-14,0.7578629509,0.04005295978,0.04150013261,0,0,1.42E-80,7.93E-07,0.1082207,0.00384950258
692.1,0.0001004812044,0.9754523952,0.001138912455,1.00E-05,4.46E-07,0.989141433,3.24E-14,0.7662314755,0.03788777205,0.04114453421,0,0,2.53E-80,6.91E-07,0.1082245906,0.003849627881
692.2,0.0001352687639,0.9749840946,0.001201427398,1.01E-05,4.42E-07,0.9892305746,3.13E-14,0.7748180297,0.03567780308,0.04078186175,0,0,0,5.90E-07,0.1082285425,0.003849743093
692.3,0.0001502438537,0.9745216492,0.00126790255,1.01E-05,4.39E-07,0.9893245659,3.07E-14,0.7835570539,0.0334461871,0.04041453897,0,0,0,4.88E-07,0.1082325386,0.003849856057
692.4,0.0001391494855,0.9740508054,0.001338694898,1.01E-05,4.36E-07,0.989422107,3.06E-14,0.7923652336,0.03121539263,0.04004418208,0,0,1.57E-82,3.86E-07,0.1082365615,0.003849974616
692.5,0.0001035936803,0.973565922,0.00141412523,1.01E-05,4.32E-07,0.9895183482,3.09E-14,0.8011532908,0.02900790317,0.03967234397,0,0,0,2.84E-07,0.1082405942,0.003850106611
692.6,6.45E-05,0.973118373,0.001494395913,1.01E-05,4.29E-07,0.9896136394,3.15E-14,0.8097792632,0.02686118757,0.03930086009,0,0,0,4.94E-07,0.1082446193,0.003850259883
692.7,4.16E-05,0.9727503971,0.001579725095,1.01E-05,4.25E-07,0.9897092806,3.23E-14,0.817872716,0.02487391776,0.03893160581,0,0,1.80E-84,7.03E-07,0.1082486197,0.003850442275
692.8,3.06E-05,0.972410677,0.00167051246,1.02E-05,4.22E-07,0.9898051718,3.32E-14,0.8249928018,0.02316093652,0.03856640069,0,0,1.43E-84,9.13E-07,0.1082525781,0.003850661628
692.9,2.29E-05,0.9720477915,0.001767222425,1.02E-05,4.19E-07,0.9899009629,3.40E-14,0.8306890971,0.02183749765,0.03820705551,0,0,2.90E-85,1.12E-06,0.1082564772,0.003850925783
693,1.70E-05,0.9717034591,0.001870396793,1.02E-05,4.16E-07,0.9899967041,3.48E-14,0.8345069742,0.02101925636,0.03785539757,0,0,1.82E-85,1.33E-06,0.1082603,0.003851242584
693.1,1.31E-05,0.9714289155,0.001980556212,1.03E-05,4.13E-07,0.9900924957,3.52E-14,0.835993924,0.02082222622,0.03751325671,0,0,3.74E-86,9.57E-07,0.1082640401,0.003851615839
693.2,1.06E-05,0.9712203254,0.002098059315,1.03E-05,4.10E-07,0.9901882365,3.54E-14,0.8347077039,0.0213627321,0.03718245576,0,0,0,5.83E-07,0.1082677351,0.003852033229
693.3,8.72E-06,0.9710638793,0.00222333171,1.03E-05,4.07E-07,0.9902838765,3.53E-14,0.8302265791,0.02275736419,0.03686482028,0,0,1.71E-88,2.09E-07,0.1082714335,0.003852478405
693.4,7.26E-06,0.9709609418,0.002357228915,1.04E-05,4.04E-07,0.9903797689,3.50E-14,0.822161191,0.02512292752,0.03656217531,0,0,1.98E-89,0,0.1082751841,0.003852935014
